Series_Title,Overview,Director,Star1,Star2,Star3,Star4,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Is_Short_Film,Is_Long_Film,Genre_Count
12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,-1.6145831955994612,-0.716325690419682,-0.9856243142648544,4.592377121572087,1.5433816911011036,2.4630193617216793,-0.6720639963922188,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,-0.5549574186810778,1.8915396051687836,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,1.0215078369104984,-0.9873144969898835,-0.6650484144443435
"Il buono, il brutto, il cattivo",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffr,-1.2032223549281398,1.735177279220492,1.412752608058157,3.750560722531965,1.0431898007120701,2.4555049418616766,-0.6328875624277773,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,-0.5549574186810778,-0.5286698714990793,-1.8381735466428732,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,6.782329983125268,-0.9789450103725609,1.0128484926016907,-2.068818271280458
Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,1.2192359290251973,1.735177279220492,0.34270751963712115,2.908744323491835,1.5433816911011036,1.7551300236110416,0.43135701751907324,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,1.8019400522234994,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,2.53397960362331,-0.22855810195691875,-0.14744195615489714,-0.9789450103725609,1.0128484926016907,0.7387214423917707
Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,Ktia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,0.44222100775714585,1.735177279220492,0.26891130664256696,2.908744323491835,0.12617133499884167,2.51162293924916,-0.5999388980977419,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,-0.5549574186810778,1.8915396051687836,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,-0.9789450103725609,1.0128484926016907,-0.6650484144443435
Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,0.39651424768255455,-0.716325690419682,0.08442077415618146,2.908744323491835,1.5433816911011036,2.2643442980828885,-0.5438206377805697,-0.41598668863894195,2.4887501985977636,3.9236907163038857,-0.3825460278380029,-0.5549574186810778,-0.5286698714990793,-1.8381735466428732,4.189586086828551,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,-0.9789450103725609,1.0128484926016907,0.7387214423917707
La vita  bella,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,0.2136872073841895,-0.716325690419682,-0.24766218431931242,2.908744323491835,-1.541134966297937,2.121043536670179,0.5266053530204957,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,1.8019400522234994,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,2.4596747752497685,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,1.0215078369104984,-0.9873144969898835,0.7387214423917707
Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,Toshir Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,-1.751703475823235,-0.716325690419682,3.1100655069329033,2.908744323491835,1.7101123212307816,0.5309561424455035,-0.7641722731658155,2.4039230756923473,2.4887501985977636,-0.25486208580221614,-0.3825460278380029,-0.5549574186810778,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,-0.9789450103725609,1.0128484926016907,0.7387214423917707
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,0.990702128652241,1.735177279220492,-0.6166432492920834,2.487836123971774,0.8764591705823921,2.606283971286265,-0.47546134042813676,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,-0.3825460278380029,-0.5549574186810778,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,4.662824839501369,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,1.0215078369104984,-0.9873144969898835,-0.6650484144443435
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,ric Toledano,Franois Cluzet,Omar Sy,Anne Le Ny,0.8535818484284672,0.509425794400405,-0.3952546103084208,2.487836123971774,-1.707865596427615,2.827197586070878,-0.4734286463851806,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,2.614064523559687,1.8019400522234994,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,-0.2144622700660867,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,1.0215078369104984,-0.9873144969898835,0.7387214423917707
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,0.44222100775714585,-0.716325690419682,1.006873436588109,2.487836123971774,0.6263632253878754,2.668351529964967,-0.03685241029611554,-0.41598668863894195,-0.401808104551204,-0.25486208580221614,2.614064523559687,-0.5549574186810778,-0.5286698714990793,0.5440182739145268,-0.23868706341751864,-0.2484894121523233,-0.2452557357939863,-0.17087153154335222,4.662824839501369,-0.3450327796711772,-0.40655781409087083,-0.23534914819664468,-0.16186683836550778,-0.39463616777740074,-0.22855810195691875,-0.14744195615489714,-0.9789450103725609,1.0128484926016907,0.7387214423917707
